Feature,Importance
Make_Kenbo,3.3813562479052196e-05
Model_T-Series,3.367329716830547e-05
Model_X70,3.3500833548114064e-05
Model_Sandero,3.345975345939725e-05
Model_B 150,3.291341925024048e-05
Make_Lincoln,3.217469766468811e-05
City_Qalyubia,3.1712497599464045e-05
Model_A4,3.150237190894921e-05
Make_Mazda,3.1350057454844874e-05
Model_Belta,3.126706700638243e-05
Make_Faw,3.096601061361896e-05
Model_A5,3.0558154983160455e-05
Model_GLK 250,3.02562251117911e-05
Model_Swift Dzire,3.0245168604440596e-05
Model_408,2.9167276865075385e-05
Model_Lancer Puma,2.798630857961016e-05
Color_Green,2.773046846628442e-05
Model_I20,2.7330217515114594e-05
Model_Malibu,2.7321866896746694e-05
Model_530,2.7091323591605905e-05
Model_Van,2.705888499626276e-05
Model_Polo,2.7054609162760225e-05
Model_CLA 45 AMG,2.684840270753845e-05
Model_Soul,2.6360286879279153e-05
Model_Ciaz,2.5768752088318406e-05
Model_I3,2.5566845786893764e-05
City_Shibin el Kom,2.5192001570116916e-05
Model_Golf 7,2.436480691321062e-05
City_El Minya,2.375104423011492e-05
Model_A1,2.3736819654548676e-05
Color_Beige,2.368168881323134e-05
Model_B 200,2.3646676488298332e-05
Model_XF,2.3311235096202662e-05
Make_Ssang Yong,2.3117419982011705e-05
Model_Camaro,2.3057421619383886e-05
Model_S60,2.265554348565899e-05
City_Sohag,2.2257285826013432e-05
Model_Grand terios,2.2126588745182646e-05
Model_K3,2.1434593126307636e-05
Model_Liberty,2.1323165197109402e-05
Model_Pickup,2.0609086409402944e-05
Model_Arona,2.012336656970975e-05
City_Mokattam,2.0017175317964683e-05
Model_118,1.9992453284414206e-05
Model_Corsa,1.9878384635745517e-05
Model_X-Type,1.9844411422124703e-05
Model_3,1.9428847940693698e-05
Model_A516,1.907568297882205e-05
Model_GX3 Pro,1.8475067285997302e-05
Model_Rush,1.7805056864394405e-05
Model_Seltos,1.7773072460581905e-05
Model_Fluence,1.7493281779582384e-05
Make_Canghe,1.7254878281726444e-05
City_Asyut,1.6983876443791152e-05
Model_Komodo,1.655558457051392e-05
Model_Q5,1.6404785710305317e-05
Model_Accent,1.6279891885811757e-05
Model_I10,1.6169015058257742e-05
Model_Lacetti,1.606588641887827e-05
Model_X3 M,1.5993234128381925e-05
Model_Crossland,1.5274979313748008e-05
Model_Xpander,1.5021146172327655e-05
Model_Benni,1.5019636808983918e-05
Model_Vectra,1.4590669856311469e-05
Model_C 300,1.457013005081316e-05
City_Faiyum,1.452655241073655e-05
City_Sharqia,1.432404550603991e-05
City_Qena,1.4299430987625403e-05
Make_Emgrand,1.3963247938338658e-05
Model_L3,1.3885784699589056e-05
Make_Saipa,1.3743875006943873e-05
Model_X4M,1.3556119806604618e-05
Model_CS 15,1.3500040338731529e-05
Model_116,1.3277981245254882e-05
City_El Qanater El Khayreya,1.3224779569847045e-05
Model_Carnival,1.30198867349664e-05
Model_Focus,1.2950611770548746e-05
Model_Attrage,1.2932352669025518e-05
Model_ID 6,1.2931352622110221e-05
Model_405,1.2929437094550574e-05
Model_Nubira 2,1.2715510385303264e-05
City_Banha,1.2673333499576673e-05
Model_Vitara,1.2388187776654403e-05
Model_440i,1.195435111873529e-05
City_Amreya,1.172561626170956e-05
City_Gharbia,1.159472780614752e-05
Model_C 250,1.1327349201682138e-05
Model_Country man,1.1185375624190267e-05
Model_Torres,1.0928501214863707e-05
Model_X95,1.0798638952963885e-05
Model_S3,1.064730306219041e-05
Model_Pick up,1.063938231627352e-05
Model_250,1.0585662992725823e-05
City_Sharm el-Sheikh,1.0504409684012436e-05
Model_Fabia,1.0310361928200813e-05
Model_Pointer,1.0293558931931326e-05
Model_Touareg,1.016733713001263e-05
Model_N200,1.003899370486964e-05
Model_Cayenne S,9.979274095499861e-06
Model_Karoq,9.706831113094507e-06
Model_2107,9.399297396580208e-06
Model_Forte,9.157151904112775e-06
Model_Caddy,9.090581401487387e-06
Color_Eggplant,9.025679543337553e-06
City_Zefta,8.936338707990671e-06
Model_S Presso,8.837982664288596e-06
Model_Tivoli XLV,8.794141939996937e-06
Model_Solaris,8.629144780813044e-06
Model_Toledo,8.527790304331515e-06
Model_208,8.490918057581392e-06
Model_A620,8.318030360964665e-06
Model_528,7.993530582806175e-06
Color_Dark green,7.948558758970078e-06
Make_Forthing,7.862196129946292e-06
Model_Rapid,7.30829604692807e-06
City_El Marg,7.280070324393233e-06
Model_Bravo,7.0896151307226964e-06
Model_Swift,7.063439070827531e-06
Make_Gmc,7.018417026706916e-06
Model_523,6.781493825915453e-06
City_Warraq,6.702180363663371e-06
Model_335,6.6251345535926425e-06
City_El Manial,6.563775330324083e-06
Model_Pride,6.492571256395291e-06
Model_S2,6.47829584422331e-06
Make_Lifan,6.417523925266995e-06
Model_Q2,6.408168171789614e-06
Model_220,6.27272032796867e-06
Make_Zotye,6.266143135828572e-06
Model_Galena,6.068184880018156e-06
City_Quesna,5.901820776630333e-06
Model_GLK 350,5.821123733289859e-06
Model_330,5.7993111433256215e-06
Make_Soueast,5.532587012995015e-06
Model_Shahin,5.487295213048311e-06
Model_Emgrand X7,5.385485233311423e-06
Model_Alsvin,5.383381541724377e-06
Model_Avanza,5.299864964214715e-06
Model_300,5.236748014119348e-06
City_Saft El Laban,5.081804627109326e-06
City_Mit Ghamr,5.063158375529743e-06
Model_Veloster,4.923594963914046e-06
Model_J7,4.809359312596361e-06
Model_Parati,4.7494085629740686e-06
Model_Trax,4.7011088600179945e-06
Model_Golf 4,4.673782375947482e-06
Model_Pandino,4.632723046499715e-06
Model_FRV Cross,4.5229000355709135e-06
Model_Eos,4.457842297832485e-06
Model_Q35,4.428558031460704e-06
Model_Sonata,4.411846869283766e-06
Model_EcoSport,4.397704519043085e-06
Model_E 240,4.2658818835924976e-06
Model_Countryman S,4.254461004426147e-06
City_Kafr el-Dawwar,4.236737812706626e-06
Model_Getz,4.19590637384133e-06
City_El Bagour,4.16395628261952e-06
Make_Foton,4.0911508863102155e-06
Model_330S,4.025081373977362e-06
Model_Alto,4.015882897028447e-06
Model_T600,4.0028909840669806e-06
Model_ENS1,3.998114454272141e-06
City_El Salam City,3.987298602250734e-06
City_Badr City,3.976340708829175e-06
Model_N5,3.891694601760954e-06
Model_Meriva,3.853016446885769e-06
Model_Punto,3.829616870698692e-06
Model_Maruti,3.764124418648654e-06
Model_S-Type,3.753881507041047e-06
Model_S 320,3.696931867273475e-06
Model_Spark,3.5991859331248864e-06
Model_A113,3.576837162447132e-06
Make_Baic,3.5675284850929577e-06
Model_Terios,3.555667327509508e-06
Model_JS4,3.4802674286552214e-06
Model_308,3.443743613244949e-06
Make_GAC,3.4387558151524167e-06
Model_Preve,3.409131675731019e-06
Model_Bayon,3.396322437018752e-06
Model_Bora,3.3603649601392874e-06
Model_Grand i10,3.347454230896045e-06
Model_Thunderbird,3.2809465726477745e-06
